Unnamed: 0,Rank,Book Link,Title,Author,Genre,Language,Average Rating,Number of Ratings,Publication Date,Number of Pages,Currently Reading,Want to Read
92,93,https://www.goodreads.com/book/show/61273814-the-house-is-on-fire,The House Is on Fire,Rachel Beanland,Historical Fiction,English,4.09,20496.0,"April 4, 2023",376.0,1506.0,102000.0
93,94,https://www.goodreads.com/book/show/195134901-god-of-ruin,God of Ruin,Rina Kent,Romance,English,4.1,66819.0,"August 31, 2023",420.0,6121.0,73600.0
94,95,https://www.goodreads.com/book/show/61884882-the-bitter-past,The Bitter Past,Bruce Borgos,Mystery,English,4.05,2032.0,"July 18, 2023",320.0,219.0,13500.0
95,96,https://www.goodreads.com/book/show/75495002-happiness-falls,Happiness Falls,Angie Kim,Mystery,English,3.74,72755.0,"August 29, 2023",387.0,4924.0,208000.0
96,97,https://www.goodreads.com/book/show/61358638-poverty-by-america,"Poverty, by America",Matthew Desmond,Nonfiction,English,4.27,47728.0,"March 21, 2023",284.0,6828.0,173000.0
97,98,https://www.goodreads.com/book/show/36679274-sword-catcher,Sword Catcher,Cassandra Clare,Fantasy,English,3.8,33507.0,"October 10, 2023",624.0,5271.0,195000.0
98,99,https://www.goodreads.com/book/show/123164084-bone-island,Bone Island: Book of Danvers,Nicole Fiorina,Fantasy,English,4.37,2524.0,"March 17, 2023",680.0,606.0,13700.0
99,100,https://www.goodreads.com/book/show/61053935-stone-cold-fox,Stone Cold Fox,Rachel Koller Croft,Thriller,English,3.66,23185.0,"February 14, 2023",353.0,851.0,55500.0
100,101,https://www.goodreads.com/book/show/60784612-finlay-donovan-jumps-the-gun,Finlay Donovan Jumps the Gun,Elle Cosimano,Mystery,English,3.82,66280.0,"January 31, 2023",304.0,1840.0,47100.0
101,102,https://www.goodreads.com/book/show/112974857-bulletproof-barista,Bulletproof Barista,Cleo Coyle,Mystery,English,3.98,2005.0,"November 14, 2023",352.0,309.0,1286.0
102,103,https://www.goodreads.com/book/show/60041932-my-roommate-is-a-vampire,My Roommate Is a Vampire,Jenna Levine,Romance,English,3.47,84237.0,"August 29, 2023",341.0,3001.0,111000.0
103,104,https://www.goodreads.com/book/show/196864520-butcher-blackbird,Butcher & Blackbird,Brynne Weaver,Audiobook,English,4.05,369513.0,"August 15, 2023",360.0,28000.0,457000.0
104,105,https://www.goodreads.com/book/show/60604190-georgie-all-along,"Georgie, All Along",Kate Clayborn,Romance,English,3.79,58910.0,"January 24, 2023",340.0,3167.0,77200.0
105,106,https://www.goodreads.com/book/show/61150440-a-fire-in-the-flesh,A Fire in the Flesh,Jennifer L. Armentrout,Fantasy,English,4.1,79997.0,"October 31, 2023",632.0,6939.0,107000.0
106,107,https://www.goodreads.com/book/show/62874245-the-drowning-woman,The Drowning Woman,Robyn Harding,Thriller,English,4.05,108634.0,"June 13, 2023",336.0,6038.0,177000.0
107,108,https://www.goodreads.com/book/show/101024750-the-river-we-remember,The River We Remember,William Kent Krueger,Historical Fiction,English,4.27,77316.0,"September 5, 2023",432.0,5842.0,106000.0
108,109,https://www.goodreads.com/book/show/63119009-the-crown-of-oaths-and-curses,The Crown of Oaths and Curses,J. Bree,Fantasy,English,4.26,15195.0,"May 27, 2023",663.0,2464.0,54400.0
109,110,https://www.goodreads.com/book/show/61272658-murder-your-employer,Murder Your Employer,Rupert Holmes,Mystery,English,3.83,42439.0,"February 21, 2023",389.0,8117.0,118000.0
110,111,https://www.goodreads.com/book/show/61884832-all-the-sinners-bleed,All the Sinners Bleed,S.A. Cosby,Mystery,English,4.23,73582.0,"June 6, 2023",341.0,5509.0,125000.0
111,112,https://www.goodreads.com/book/show/60965424-the-drift,The Drift,C.J. Tudor,Horror,English,3.7,19372.0,"January 19, 2023",340.0,1050.0,36600.0
112,113,https://www.goodreads.com/book/show/62322008-strange-sally-diamond,Strange Sally Diamond,Liz Nugent,Thriller,English,4.18,109728.0,"July 18, 2023",384.0,4143.0,21600.0
113,114,https://www.goodreads.com/book/show/62919765-zero-days,Zero Days,Ruth Ware,Thriller,English,3.64,105463.0,"June 20, 2023",356.0,6456.0,101000.0
114,115,https://www.goodreads.com/book/show/60877616-really-good-actually,"Really Good, Actually",Monica Heisey,Fiction,English,3.15,97983.0,"January 17, 2023",370.0,6799.0,174000.0
115,116,https://www.goodreads.com/book/show/65916344-holly,Holly,Stephen King,Horror,English,4.1,136659.0,"September 5, 2023",449.0,15600.0,220000.0
116,117,https://www.goodreads.com/book/show/57102663-the-secret-lives-of-country-gentlemen,The Secret Lives of Country Gentlemen,K.J. Charles,Romance,English,4.12,11510.0,"March 7, 2023",331.0,654.0,25700.0
117,118,https://www.goodreads.com/book/show/61885085-witch-king,Witch King,Martha Wells,Fantasy,English,3.7,20537.0,"May 30, 2023",415.0,3550.0,88400.0
118,119,https://www.goodreads.com/book/show/101145836-wildfire,Wildfire,Hannah Grace,Sports Romance,English,3.85,347876.0,"October 3, 2023",387.0,22800.0,317000.0
119,120,https://www.goodreads.com/book/show/36140857-the-fragile-threads-of-power,The Fragile Threads of Power,Victoria E. Schwab,Fantasy,English,4.29,35044.0,"September 26, 2023",22.0,4997.0,168000.0
120,120,https://www.goodreads.com/book/show/61618737-forget-me-not,Forget Me Not,Julie Soto,Contemporary,English,3.98,58606.0,"July 11, 2023",341.0,2140.0,88600.0
121,122,https://www.goodreads.com/book/show/62365891-unfortunately-yours,Unfortunately Yours,Tessa Bailey,Contemporary,English,3.78,90243.0,"June 6, 2023",384.0,3139.0,120000.0
122,123,https://www.goodreads.com/book/show/63249718-silver-nitrate,Silver Nitrate,Silvia Moreno-Garcia,Horror,English,3.6,25380.0,"July 18, 2023",323.0,1921.0,87200.0
123,124,https://www.goodreads.com/book/show/62292422-psyche-and-eros,Psyche and Eros,Luna McNamara,Mythology,English,3.78,14423.0,"May 25, 2023",352.0,1125.0,64900.0
124,125,https://www.goodreads.com/book/show/123257687-assistant-to-the-villain,Assistant to the Villain,Hannah Nicole Maehrer,Fantasy,English,3.92,191170.0,"August 29, 2023",342.0,19200.0,301000.0
